_id,type,sourceId,url,firstPublishDate,lastPublishDate,lastModifiedDate,path,source,location,byLine,headline,body,section,mappedSection,thumbnail,livestorySourceId
h_1f5d8193d9b14d611ca98f78d904dd40,article,article_52564B25-B161-CDC5-5051-B09FE07A82F3,https://www.cnn.com/2020/06/14/politics/us-election-trump-campaign-strategy/index.html,2020-06-14T12:31:25Z,2020-06-14T16:37:13Z,2020-06-14T16:37:13Z,/2020/06/14/politics/us-election-trump-campaign-strategy,cnn,,"Analysis by Maeve Reston, CNN","Trump looks out of touch now, but it's too early to say he's doomed in November","As President Donald Trump falls farther behind Joe Biden in national polls, the conventional wisdom among coastal elites is that Trump will pay a price in November for his defiance of the cultural change sweeping America. Though it is still 141 days from the November 3 election, the polls of the moment look grim for Trump. He continues to struggle with female voters, many of whom are exhausted by his divisive tone and punitive tweets. Biden is posting double-digit leads in national polls while campaigning (mostly) from his basement in the midst of the pandemic. View Trump and Biden head-to-head",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200613110456-06-west-point-graduation-2020-story-body.jpg,
h_cad47286eeadd3ac82ec37d527acc194,article,article_67C0A139-511B-8548-8835-AA0979F1253D,https://www.cnn.com/2020/06/14/us/nascar-black-fans-confederate-flag/index.html,2020-06-14T14:34:49Z,2020-06-14T16:22:44Z,2020-06-14T16:22:44Z,/2020/06/14/us/nascar-black-fans-confederate-flag,cnn,,"By Dakin Andone, CNN","For black NASCAR fans, the Confederate flag ban is welcome but long overdue","Growing up in the middle of nowhere, Marc Wiley said he had two choices for recreation: ""Go fast and shoot stuff."" ""And I've never been that interested in guns,"" he said. As a result, Wiley, a black man who lives in northern Vermont, has followed NASCAR for most of his life. He used to write magazine articles and ran a YouTube channel dedicated to the sport. He loves the energy at the races, the camaraderie of the campgrounds and the sound of cars roaring by. Everyone, he said, should go to a race at least once. In recent years, however,",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200608165742-nascar-black-lives-matter-story-body.jpg,
h_17e7b85877aebf6f4200423f0c11fed6,article,article_1A70E270-1956-7812-7EC4-B0BF3C23C344,https://www.cnn.com/2020/06/14/us/atlanta-protests-rayshard-brooks-sunday/index.html,2020-06-14T07:00:51Z,2020-06-14T16:07:24Z,2020-06-14T16:07:24Z,/2020/06/14/us/atlanta-protests-rayshard-brooks-sunday,cnn,Atlanta,"By Christina Maxouris, Joe Sutton and Eric Levenson, CNN",Atlanta Police killing of Rayshard Brooks leads to officer's firing and chief's resignation,"A white Atlanta Police officer shot and killed a black man after an altercation on Friday night, sparking renewed protests in the city, the officer's firing and the police chief's resignation. Rayshard Brooks, 27, was shot dead by an officer Friday night at a Wendy's drive-through in the city. Surveillance video and bystander video from the scene show that Brooks took an officer's Taser during an attempted arrest and then fired the Taser at the officers as he ran away. One officer then shot Brooks with his service weapon, authorities said. The killing, in the midst of nationwide protests calling",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200613231343-atlanta-protests-0613-rayshaud-story-body.jpg,
h_60e466988a889bcabe97830f5a9e6b43,article,article_1695F3C9-E622-E173-946A-B0EFDBFD809B,https://www.cnn.com/us/live-news/george-floyd-protests-06-14-20/index.html,2020-06-12T21:01:49.602Z,2020-06-14T16:00:09.626Z,2020-06-14T16:00:09.626Z,/us/live-news/george-floyd-protests-06-14-20,cnn,,"By Julia Hollingsworth, Jenni Marsh, Peter Wilkinson and Mike Hayes, CNN",Black Lives Matter protests across the US and world,"Vermont Gov. Phil Scott tweeted Sunday that the Black Lives Matter painting in front of the State House was vandalized “early this morning, in an effort to fuel hate and division…” “This act of vandalism only reinforces that we’re not immune to racism, divisiveness and hate in Vermont,"" he tweeted. He directed the Vermont State Police and Department of Buildings and General Services to assist the Montpelier Police Department in an investigation. Read his tweets: The US Senate’s only African American Republican, Tim Scott of South Carolina, said today that the Friday night killing of Rayshard Brooks in Atlanta is",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200613225731-03-atlanta-wendys-fire-story-body.jpg,livestory_f571c1f2-b9cf-4048-8463-3b9ee2753447
h_6ea74732e9edc894839985f0f35ea181,article,article_E4152E8A-6B56-E1C7-8D92-AC17613CF79A,https://www.cnn.com/2020/06/14/opinions/the-myth-trump-is-modeling-opinion-weekly-column-galant/index.html,2020-06-14T12:26:06Z,2020-06-14T15:45:25Z,2020-06-14T15:45:25Z,/2020/06/14/opinions/the-myth-trump-is-modeling-opinion-weekly-column-galant,cnn,,"Opinion by Richard Galant, CNN",The myth Trump is modeling,"King Canute got a bad rap. The Viking chief who ruled England, Denmark and Norway in the 11th Century became infamous for a stunt that historians believe was misunderstood, if it even happened: sitting grandly in a throne at the seashore and ordering the ocean to stop the incoming waves. But the myth of the leader who tried to hold back the tide seemed to apply this week to the President of the United States. George Floyd died on Memorial Day, his neck under the knee of a police officer. In the three weeks since, protests against police abuses have",opinions,OPINION,https://cdn.cnn.com/cnnnext/dam/assets/200613011525-04-opinion-column-0613-story-body.jpg,
h_103865364f164dafd64025db47fefd64,article,article_679DF7A4-53C6-FFCA-3C66-AE4A49431307,https://www.cnn.com/2020/06/14/world/statues-robert-lee-churchill-colston-columbus-intl/index.html,2020-06-14T13:47:59Z,2020-06-14T15:09:14Z,2020-06-14T15:09:14Z,/2020/06/14/world/statues-robert-lee-churchill-colston-columbus-intl,cnn,,"By Tim Lister, CNN","Cathartic acts of rage, or the rewriting of history? How statues became political lightning rods","Statues are products of one era built to endure into others. They loom over streets and squares while the views of those who pass by change, from generation to generation. Most people, most of the time, are indifferent to these persons of stone and bronze. Not now. From Richmond, Virginia, to Bristol in England, statues of men who championed or traded in slavery centuries ago are being torn down. The soul-searching about race prompted by the death of George Floyd in Minneapolis has extended into how the history of racial persecution and prejudice is remembered. It is a heated debate",world,WORLD,https://cdn.cnn.com/cnnnext/dam/assets/200610172633-01-christopher-columbus-statue-boston-story-body.jpg,
h_59cac078136b14723b8c87a633e8be7d,gallery,gallery_65C67A71-2F72-D443-923F-559800CCBC12,https://www.cnn.com/2020/05/27/us/gallery/george-floyd-demonstrations/index.html,2020-05-27T13:09:36Z,2020-06-14T09:38:56Z,2020-06-14T09:38:56Z,/2020/05/27/us/gallery/george-floyd-demonstrations,cnn,,,Protests across America after George Floyd's death,"Protesters confront police in Portland, Oregon, on Saturday, June 13. Demonstrators make their way through Brooklyn during a protest over the death of George Floyd, on Saturday, June 13, in New York City. A couple kneels and raises their hands at a memorial for George Floyd on Saturday, June 13, in Minneapolis, Minnesota. Melissa Townsend and Jeremy Williams embrace as they listen to protests while visiting 16th Street, renamed ""Black Lives Matter Plaza,"" in Washington, DC, on Friday, June 12. Congressional candidate for New York's 7th District Paperboy Prince leads a march against police brutality and systemic racism during a",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200614043358-0613-portland-protests-story-body.jpg,
h_a79960844671033e4d543fc605d360b7,article,article_872E7CA7-A219-8E7D-CAF2-AE2187E8D053,https://www.cnn.com/2020/06/13/europe/protests-london-far-right-gbr-intl/index.html,2020-06-13T15:51:51Z,2020-06-14T09:11:52Z,2020-06-14T09:11:52Z,/2020/06/13/europe/protests-london-far-right-gbr-intl,cnn,,"By Emma Reynolds, Simon Cullen and Max Ramsay, CNN",Scores arrested after far-right groups target anti-racism protests in London and Paris,"More than 100 people were arrested in London on Saturday after violence broke out as far-right groups targeted anti-racism Black Lives Matter (BLM) demonstrations. The offenses as of 9 p.m. included violent disorder, assault on officers, possession of an offensive weapon, possession of class A drugs, and drunken disorder, London's Metropolitan Police said in a tweet. Far-right groups bombarded police with bottles and occasionally scuffled violently with officers as they staged a counter-protest in central London. Police also arrested a 28-year-old man after an individual was photographed on Saturday apparently urinating on a memorial to a police officer killed while",europe,WORLD,https://cdn.cnn.com/cnnnext/dam/assets/200613085315-01-protests-0613-london-story-body.jpg,
h_296de7eeb68f6b19f6ef6f50ad3cb224,article,article_FE7A73A0-90A4-B05A-61B7-AA6F4A8F42BC,https://www.cnn.com/2020/06/14/us/black-lives-matter-immigrants-visa-status-protest-trnd/index.html,2020-06-14T06:33:56Z,2020-06-14T06:33:56Z,2020-06-14T06:33:56Z,/2020/06/14/us/black-lives-matter-immigrants-visa-status-protest-trnd,cnn,,"Aditi Sangal, CNN","In the Black Lives Matter movement, immigrants find themselves in a tough position","After the first wave of nationwide protests over George Floyd's death turned violent, immigrants on US visas who support the Black Lives Matter movement's protest faced a choice: to join the protests and jeopardize their legal status as immigrants or sit it out and save their future in the country. Jennifer Scheurle, a German immigrant living in Bellevue on a work visa, says she has always been a politically engaged person, especially having participated in Berlin's strong protest culture prior to arriving in the United States. The Black Lives Matter movement inspired her, but when things turned violent, she was",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200611022315-los-angeles-george-floyd-protest-0608-story-body.jpg,
h_2c65f42d6f8d18e41760e6992cc8f61c,article,article_92E46925-B241-0FAA-B4F7-A97367F2B216,https://www.cnn.com/us/live-news/george-floyd-protests-06-13-20/index.html,2020-06-12T16:00:13.749Z,2020-06-14T04:21:26.732Z,2020-06-14T04:21:26.732Z,/us/live-news/george-floyd-protests-06-13-20,cnn,,"By Joshua Berlinger, Brett McKeehan, Peter Wilkinson, Emma Reynolds, Melissa Macaya and Amir Vera, CNN",June 13 Black Lives Matter protests,"Our live coverage of the anti-racist protests has moved here. A second Atlanta police officer involved in the Rayshard Brooks case has been placed on administrative duty, Atlanta Police spokesman Carlos Campos tells CNN. Campos also said that the Atlanta police officer who shot and killed Brooks on Friday has been terminated. CORRECTION: This post has been updated to reflect that the officer was placed on administrative duty, not administrative leave. The Atlanta Police Officer who shot and killed Rayshard Brooks has been terminated, Atlanta Police spokesman Carlos Campos tells CNN. A small group of protesters tonight marched from the",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200603133448-george-floyd-memorial-mural-0531-story-body.jpg,livestory_e28647ce-1c61-4536-abc6-15b00249fcc9
