_id,type,sourceId,url,firstPublishDate,lastPublishDate,lastModifiedDate,path,source,location,byLine,headline,body,section,mappedSection,thumbnail,livestorySourceId
h_2ec233c5423d8bcfd977ed8433c59a2d,article,article_3DAF5749-3AC0-8528-F1D0-B11F1E397759,https://www.cnn.com/world/live-news/coronavirus-pandemic-06-14-20-intl/index.html,2020-06-12T20:54:15.879Z,2020-06-14T19:59:16.853Z,2020-06-14T19:59:16.853Z,/world/live-news/coronavirus-pandemic-06-14-20-intl,cnn,,"By Julia Hollingsworth, Jenni Marsh, Peter Wilkinson and Mike Hayes, CNN",Coronavirus pandemic: Updates from around the world,"Our live coverage of the coronavirus pandemic has ended for the evening. In an address to the nation on Sunday evening, French President Emmanuel Macron applauded the country in the battle against coronavirus. He announced a further easing of restrictions that were put in place to battle the spread of Covid-19. Macron said, “We can be proud of what has been done and of our country.” He said, ""tens of thousands of lives have been saved by our choices, by our actions."" Macron said, starting Monday, mainland France will lift all restrictions previously applied to businesses and transport. “We must",world,WORLD,https://cdn.cnn.com/cnnnext/dam/assets/200213175739-03-coronavirus-0213-story-body.jpg,livestory_73bd2961-d9e5-488d-a8e3-054ed10378d1
h_5470fb94119370fc79bdec889fcd2b0c,article,article_4278E16E-B34D-730A-2BE2-B40B87541C70,https://www.cnn.com/2020/06/14/health/us-surgeon-general-coronavirus-masks/index.html,2020-06-14T19:35:16Z,2020-06-14T19:35:16Z,2020-06-14T19:35:16Z,/2020/06/14/health/us-surgeon-general-coronavirus-masks,cnn,,"By Arman Azad and Susannah Cullinane, CNN",US Surgeon General: Coronavirus face masks promote freedom,"The US Surgeon General on Sunday urged people to wear face coverings, saying they will promote freedom during the coronavirus pandemic. Dr. Jerome Adams pushed back on the idea that face coverings infringe on freedoms, saying they're important to slow the spread of coronavirus and reopen the economy. ""Some feel face coverings infringe on their freedom of choice- but if more wear them, we'll have MORE freedom to go out,"" Surgeon General Adams wrote in a tweet Sunday morning. He said face coverings lead to less asymptomatic spread of the virus, which leads to more places opening sooner. ""Exercise and",health,HEALTH,https://cdn.cnn.com/cnnnext/dam/assets/200615064755-jerome-adams-mask-april-story-body.jpg,
h_a2e13892067d763a4350f28a026a6d25,article,article_77859D27-44DB-6AF0-3AA8-AC3F36324508,https://www.cnn.com/2020/06/13/us/palmdale-man-found-dead/index.html,2020-06-13T06:36:14Z,2020-06-14T19:05:23Z,2020-06-14T19:05:23Z,/2020/06/13/us/palmdale-man-found-dead,cnn,,"By Sarah Moon, CNN",A community seeks answers after a young black man is found hanging from a tree in Los Angeles County,"Dozens of people gathered at Palmdale city council chambers Friday as officials held a press conference on the death of a 24-year-old black man who was found hanging from a tree in northern Los Angeles County. Shortly after 3:30 a.m. Monday, a passerby noticed a man, later identified as Robert L. Fuller, hanging from a tree in Palmdale, California. Fire department personnel who responded to the scene determined he was dead, the Los Angeles County Sheriff's Department said in a statement. Palmdale city described it as ""an alleged death by suicide."" ""Sadly, it is not the first such incident since",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200613020730-ca-palmdale-suicide-lynching-meeting-story-body.jpg,
h_8bc982e8274cc55f7b14cb54dbf0b73b,article,article_CA05FFC5-ED98-E1A8-2AC2-B30AF69D89EB,https://www.cnn.com/2020/06/14/politics/larry-kudlow-coronavirus-masks-trump-rally-cnntv/index.html,2020-06-14T14:14:40Z,2020-06-14T15:42:52Z,2020-06-14T15:42:52Z,/2020/06/14/politics/larry-kudlow-coronavirus-masks-trump-rally-cnntv,cnn,Washington,"By Devan Cole and Kristen Holmes, CNN",Top White House official says people attending Trump rally should 'probably' wear face masks,"A top Trump administration official said Sunday that people attending President Donald Trump's upcoming campaign rally should ""probably"" wear face masks to help curb the spread of coronavirus. ""People must observe the safety guidelines. OK -- must. The social distancing must be observed. Face coverings in key places must be observed,"" White House economic adviser Larry Kudlow told CNN's Jake Tapper on ""State of the Union."" Asked by Tapper if Kudlow's guidance also applied to people attending Trump's rally on Saturday, Kudlow replied: ""Well, OK. Probably so."" CNN has reported that people attending the indoor rally in Tulsa, Oklahoma, have",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200614093938-kudlow-sotu-6-14-story-body.jpg,
h_58cfa894201784c0d4979d01f8a5e5b0,article,article_DA79FE74-AEFC-2589-F59E-A9EDBAE20BC6,https://www.cnn.com/2020/06/13/politics/trump-west-point-graduation/index.html,2020-06-13T09:54:26Z,2020-06-14T14:38:07Z,2020-06-14T14:38:07Z,/2020/06/13/politics/trump-west-point-graduation,cnn,,"By Zachary Cohen and Caroline Kelly, CNN",Trump addresses a socially-distanced West Point graduation,"President Donald Trump on Saturday addressed 1,107 graduates who gathered at the US Military Academy at West Point for the academy's annual commencement. The ceremony looked very different from those in years past. Graduates socially distanced 6 feet from one another across the Plain Parade Field to accommodate Covid-19 public health requirements instead of at Michie Stadium, the ceremony's traditional location. And family and friends were not allowed to attend the ceremony but could watch it online. ""This premier military academy produces only the best of the best -- the strongest of the strong -- and the bravest of the",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200613104702-03-west-point-graduation-2020-story-body.jpg,
h_9dbf6662b541a8f07f5d978c0d8c6eca,article,article_F0B38A02-C751-AEEB-AADF-B253D64102D8,https://www.cnn.com/2020/06/14/world/coronavirus-newsletter-06-14-20-intl/index.html,2020-06-14T11:22:57Z,2020-06-14T11:22:57Z,2020-06-14T11:22:57Z,/2020/06/14/world/coronavirus-newsletter-06-14-20-intl,cnn,,"By Ivana Kottasová, CNN","What you need to know about coronavirus on Sunday, June 14","Ready or not, here comes a big week for reopening. France is lifting travel restrictions, New Jersey will allow outdoor dining, British shops plan on unlocking their doors and Greek museums will welcome visitors again. But as countries take steps to revive their economies, the risk of infections flaring up again is on everyone's mind. A second spike, however, can be averted if we act ""in the proper way,"" says Dr. Anthony Fauci, the US infectious disease expert. That proper approach should be a no-brainer by now: face masks, hand washing, social distancing, testing and tracing. As New York Governor",world,WORLD,https://cdn.cnn.com/cnnnext/dam/assets/200130165125-corona-virus-cdc-image-story-body.jpg,
h_2088050e3be513876620ce77603ec2e9,article,article_7249FD14-0200-2ED3-5115-A9BEE3B716AD,https://www.cnn.com/2020/06/14/world/bat-facts-cnn-special-coronavirus-scn/index.html,2020-06-14T08:06:19Z,2020-06-14T09:59:20Z,2020-06-14T09:59:20Z,/2020/06/14/world/bat-facts-cnn-special-coronavirus-scn,cnn,,"By Kristen Rogers, CNN","6 reasons why bats aren't enemies: They help make tequila, and other surprising facts you may not know","Bats have shouldered much of the blame in the quest for the origins of the novel coronavirus. In March, researchers published a study that found a 96.2% similarity between the coronavirus that causes Covid-19 and a virus found in a horseshoe bat from China's Yunnan province. ""Ninety-six percent is a different virus; it's a bit like the difference between us and chimpanzees,"" Peter Daszak, the president of the non-profit EcoHealth Alliance, explains in CNN Special Report ""Bats: The Mystery Behind Covid-19."" ""It's a different species of virus. But what it tells us is where the virus probably came from. It",world,WORLD,https://cdn.cnn.com/cnnnext/dam/assets/200421142849-03-leaf-nosed-bats-discovery-story-body.jpg,
h_a79960844671033e4d543fc605d360b7,article,article_872E7CA7-A219-8E7D-CAF2-AE2187E8D053,https://www.cnn.com/2020/06/13/europe/protests-london-far-right-gbr-intl/index.html,2020-06-13T15:51:51Z,2020-06-14T09:11:52Z,2020-06-14T09:11:52Z,/2020/06/13/europe/protests-london-far-right-gbr-intl,cnn,,"By Emma Reynolds, Simon Cullen and Max Ramsay, CNN",Scores arrested after far-right groups target anti-racism protests in London and Paris,"More than 100 people were arrested in London on Saturday after violence broke out as far-right groups targeted anti-racism Black Lives Matter (BLM) demonstrations. The offenses as of 9 p.m. included violent disorder, assault on officers, possession of an offensive weapon, possession of class A drugs, and drunken disorder, London's Metropolitan Police said in a tweet. Far-right groups bombarded police with bottles and occasionally scuffled violently with officers as they staged a counter-protest in central London. Police also arrested a 28-year-old man after an individual was photographed on Saturday apparently urinating on a memorial to a police officer killed while",europe,WORLD,https://cdn.cnn.com/cnnnext/dam/assets/200613085315-01-protests-0613-london-story-body.jpg,
h_582661440b3ee9fd54e16ed0b45aeb45,article,article_7FA98E6E-CAA5-AFAD-4171-B132D159A0C3,https://www.cnn.com/2020/06/14/health/us-coronavirus-sunday/index.html,2020-06-14T08:20:48Z,2020-06-14T08:20:48Z,2020-06-14T08:20:48Z,/2020/06/14/health/us-coronavirus-sunday,cnn,,"By Faith Karimi, CNN",New York says it's 'tamed the beast' of coronavirus while some states see record hospitalizations,"The number of coronavirus cases and hospitalizations have gone up in some states, a bleak reminder that the pandemic that's infected more than 2 million people is not over. More than 115,000 people have died from Covid-19 in the United States, according to Johns Hopkins University. As of Saturday, coronavirus cases were still increasing in 18 states -- several of which saw record or near-record highs. In 17 states, the numbers were trending downward, and numbers remained steady in 13 states. Texas saw more than 2,200 people hospitalized with coronavirus Saturday, bypassing a record high the previous day, CNN affiliate",health,HEALTH,https://cdn.cnn.com/cnnnext/dam/assets/200614014713-0614-coronavirus-story-body.jpg,
h_2c65f42d6f8d18e41760e6992cc8f61c,article,article_92E46925-B241-0FAA-B4F7-A97367F2B216,https://www.cnn.com/us/live-news/george-floyd-protests-06-13-20/index.html,2020-06-12T16:00:13.749Z,2020-06-14T04:21:26.732Z,2020-06-14T04:21:26.732Z,/us/live-news/george-floyd-protests-06-13-20,cnn,,"By Joshua Berlinger, Brett McKeehan, Peter Wilkinson, Emma Reynolds, Melissa Macaya and Amir Vera, CNN",June 13 Black Lives Matter protests,"Our live coverage of the anti-racist protests has moved here. A second Atlanta police officer involved in the Rayshard Brooks case has been placed on administrative duty, Atlanta Police spokesman Carlos Campos tells CNN. Campos also said that the Atlanta police officer who shot and killed Brooks on Friday has been terminated. CORRECTION: This post has been updated to reflect that the officer was placed on administrative duty, not administrative leave. The Atlanta Police Officer who shot and killed Rayshard Brooks has been terminated, Atlanta Police spokesman Carlos Campos tells CNN. A small group of protesters tonight marched from the",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200603133448-george-floyd-memorial-mural-0531-story-body.jpg,livestory_e28647ce-1c61-4536-abc6-15b00249fcc9
