_id,type,sourceId,url,firstPublishDate,lastPublishDate,lastModifiedDate,path,source,location,byLine,headline,body,section,mappedSection,thumbnail,livestorySourceId
h_60e466988a889bcabe97830f5a9e6b43,article,article_1695F3C9-E622-E173-946A-B0EFDBFD809B,https://www.cnn.com/us/live-news/george-floyd-protests-06-14-20/index.html,2020-06-12T21:01:49.602Z,2020-06-14T19:56:59.650Z,2020-06-14T19:56:59.650Z,/us/live-news/george-floyd-protests-06-14-20,cnn,,"By Julia Hollingsworth, Jenni Marsh, Peter Wilkinson, Mike Hayes and Amir Vera, CNN",Black Lives Matter protests across the US and world,"Fulton County District Attorney Paul Howard on Sunday tells CNN's Fredricka Whitfield that he thought Rayshard Brooks was cooperative in the 22-minute conversation with the officers shown on video. ""When I saw that footage that you just displayed. That conversation went on about 22 minutes with Mr. Brooks talking to these two officers, and it's very difficult when you see it, when you see the demeanor of Mr. Brooks to imagine that some short time later, it ends up with him being dead,"" said Howard. Asked how he would describe Brooks's demeanor, Howard said, ""I thought it was cordial. He",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200613225731-03-atlanta-wendys-fire-story-body.jpg,livestory_f571c1f2-b9cf-4048-8463-3b9ee2753447
h_17e7b85877aebf6f4200423f0c11fed6,article,article_1A70E270-1956-7812-7EC4-B0BF3C23C344,https://www.cnn.com/2020/06/14/us/atlanta-protests-rayshard-brooks-sunday/index.html,2020-06-14T07:00:51Z,2020-06-14T19:42:43Z,2020-06-14T19:42:43Z,/2020/06/14/us/atlanta-protests-rayshard-brooks-sunday,cnn,Atlanta,"By Eric Levenson, Christina Maxouris and Joe Sutton, CNN",DA criticizes Atlanta police killing of Rayshard Brooks and says charges could come this week,"The Fulton County District Attorney criticized the police officers' handling of the fatal shooting of Rayshard Brooks in Atlanta on Friday and said that a decision on whether to bring charges could come around Wednesday. ""(Brooks) did not seem to present any kind of threat to anyone, and so the fact that it would escalate to his death just seems unreasonable,"" DA Paul Howard told CNN's Fredricka Whitfield on Sunday. ""If that shot was fired for some reason other than to save that officer's life or prevent injury to him or others, then that shooting is not justified under the",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200613210430-05-rayshard-brooks-story-body.jpg,
h_4ee335f8c5dc7c9192267e4c5f2b481c,article,article_6A0E16C5-9676-98D4-E73F-B335064FA6DC,https://www.cnn.com/2020/06/14/politics/state-polls-shift-democrats-since-protests/index.html,2020-06-14T16:10:30Z,2020-06-14T19:27:55Z,2020-06-14T19:27:55Z,/2020/06/14/politics/state-polls-shift-democrats-since-protests,cnn,,"Analysis by Harry Enten, CNN",State polls show clear shift toward Democrats since protests began,"The Iowa Poll released Saturday night showed Democratic Senate candidate Theresa Greenfield with major momentum. Forty-six percent of likely voters would vote for Greenfield if the election were held today compared to 43% who would vote for Republican Sen. Joni Ernst -- a within the margin of error advantage for the challenger. While it's still early and things could change, this Iowa poll, conducted by Selzer & Co., is the latest state survey for either the race for the White House or Senate to show a clear shift toward Democrats since protests began nationwide following the death of George Floyd",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200610100733-03-joe-biden-0605-story-body.jpg,
h_523423367376e0566ca309c7ad689e00,article,article_0DA3A73C-A5CA-C11B-383B-B2E1E6331163,https://www.cnn.com/2020/06/14/politics/james-clyburn-defund-police-cnntv/index.html,2020-06-14T13:54:27Z,2020-06-14T18:16:06Z,2020-06-14T18:16:06Z,/2020/06/14/politics/james-clyburn-defund-police-cnntv,cnn,,"By Chandelis Duster, CNN",Clyburn says he does not support defunding the police,"Democratic South Carolina Rep. James Clyburn on Sunday said he does not support calls to defund the police, saying instead to restructure law enforcement. ""Nobody is going to defund the police,"" Clyburn, the House Majority Whip and one of the leading African American members of Congress, told CNN's Jake Tapper on ""State of The Union."" ""We can restructure the police forces. Restructure, re-imagine policing. That is what we are going to do."" He continued, ""The fact of the matter is that police have a role to play. What we've got to do is make sure that their role is one",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200602203726-clyburn-story-body.jpg,
h_4fd74bf4d82f36fa25c0b22a416b9001,article,article_546BB4B5-D726-53F8-431C-B3C8A0B3F8AD,https://www.cnn.com/2020/06/14/politics/mike-pompeo-meeting-chinese-officials-hawaii/index.html,2020-06-14T18:09:39Z,2020-06-14T18:09:39Z,2020-06-14T18:09:39Z,/2020/06/14/politics/mike-pompeo-meeting-chinese-officials-hawaii,cnn,Washington,"By Kylie Atwood, CNN",Pompeo to meet with Chinese officials in Hawaii amid escalating tensions,"Secretary of State Mike Pompeo plans to meet with Chinese officials in Hawaii early this week, two US officials and one Western diplomat told CNN on Sunday. Pompeo is expected to discuss a wide range of issues during the meetings, which will take place at Hickam Air Force Base, according to a US official familiar with the trip. Pompeo will only be on the ground in Hawaii for about 24 hours, the source said. Pompeo's plans were first reported by Politico. The secretary of state's meeting comes as tensions between the US and China have been escalating for months, as",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200128095812-mike-pompeo-file-story-body.jpg,
h_4d30b3c1f0acaa2c5ddd462c62463dd2,article,article_ADE19CE1-3E7A-D1F3-03DF-AF2AFEB12FE5,https://www.cnn.com/2020/06/14/us/minneapolis-covering-george-floyd-sara-sidner/index.html,2020-06-14T12:20:31Z,2020-06-14T16:35:20Z,2020-06-14T16:35:20Z,/2020/06/14/us/minneapolis-covering-george-floyd-sara-sidner,cnn,Minneapolis,"By Sara Sidner, CNN",Inside one reporter's experience from Ferguson to Floyd,"When I first saw the video, my head turned away. It was a visceral and uncontrolled physical reaction. I couldn't stomach seeing a man gulping air like a fish — his face pushed flat on the hot, dirty pavement with a knee bearing down on his neck. It was painful to watch. Though of course nothing like the pain of the man experiencing such an act of sanctioned violence. That man was 46-year-old George Floyd. But I'm a reporter and so I forced myself to watch it again and again. I did so a dozen times. I was trying to",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200613171919-ferguson-floyd-liquor-store-story-body.jpg,
h_cad47286eeadd3ac82ec37d527acc194,article,article_67C0A139-511B-8548-8835-AA0979F1253D,https://www.cnn.com/2020/06/14/us/nascar-black-fans-confederate-flag/index.html,2020-06-14T14:34:49Z,2020-06-14T16:22:44Z,2020-06-14T16:22:44Z,/2020/06/14/us/nascar-black-fans-confederate-flag,cnn,,"By Dakin Andone, CNN","For black NASCAR fans, the Confederate flag ban is welcome but long overdue","Growing up in the middle of nowhere, Marc Wiley said he had two choices for recreation: ""Go fast and shoot stuff."" ""And I've never been that interested in guns,"" he said. As a result, Wiley, a black man who lives in northern Vermont, has followed NASCAR for most of his life. He used to write magazine articles and ran a YouTube channel dedicated to the sport. He loves the energy at the races, the camaraderie of the campgrounds and the sound of cars roaring by. Everyone, he said, should go to a race at least once. In recent years, however,",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200608165742-nascar-black-lives-matter-story-body.jpg,
h_eea2615bcc2e3b0314693e98b78aed3e,article,article_1F82D7FF-01E5-D38A-2044-A96753671FA6,https://www.cnn.com/2020/06/13/politics/military-diversity-data/index.html,2020-06-13T16:51:53Z,2020-06-14T15:52:11Z,2020-06-14T15:52:11Z,/2020/06/13/politics/military-diversity-data,cnn,Washington,"By Zachary Cohen and Janie Boschma, CNN",Military data reveals dangerous reality for black service members and veterans,"Top US military officials are seeking to reassure the nation's roughly two million active duty and reserve personnel that they are committed to addressing issues of racial inequality across the branches following George Floyd's death and protests across the country. But the challenges they face are huge. A CNN review of data provided by the Pentagon and Department of Veterans Affairs reveals the stark reality that black service members are less likely to become officers and, as a result, are more likely to be seriously injured serving their country than their white colleagues. Those issues are very much intertwined, according",politics,POLITICS,https://cdn.cnn.com/cnnnext/dam/assets/200611130125-20200612-diversity-in-military-illustration-story-body.jpg,
h_6ea74732e9edc894839985f0f35ea181,article,article_E4152E8A-6B56-E1C7-8D92-AC17613CF79A,https://www.cnn.com/2020/06/14/opinions/the-myth-trump-is-modeling-opinion-weekly-column-galant/index.html,2020-06-14T12:26:06Z,2020-06-14T15:45:25Z,2020-06-14T15:45:25Z,/2020/06/14/opinions/the-myth-trump-is-modeling-opinion-weekly-column-galant,cnn,,"Opinion by Richard Galant, CNN",The myth Trump is modeling,"King Canute got a bad rap. The Viking chief who ruled England, Denmark and Norway in the 11th Century became infamous for a stunt that historians believe was misunderstood, if it even happened: sitting grandly in a throne at the seashore and ordering the ocean to stop the incoming waves. But the myth of the leader who tried to hold back the tide seemed to apply this week to the President of the United States. George Floyd died on Memorial Day, his neck under the knee of a police officer. In the three weeks since, protests against police abuses have",opinions,OPINION,https://cdn.cnn.com/cnnnext/dam/assets/200613011525-04-opinion-column-0613-story-body.jpg,
h_ac9192213e119e66cdef357ce9be8de4,article,article_05F4495A-AF45-6987-F65A-A48B28103A52,https://www.cnn.com/2020/06/14/us/george-floyd-national-police-reforms/index.html,2020-06-14T09:16:03Z,2020-06-14T15:14:00Z,2020-06-14T15:14:00Z,/2020/06/14/us/george-floyd-national-police-reforms,cnn,,"By Ray Sanchez, CNN",Police reforms quickly take hold across America. It's only just getting started,"One reform repeals a New York state statute that kept secret the personnel and disciplinary records of police officers, leaving the public in the dark about officers' abuse histories. Other measures, from Florida to California, ban chokeholds and neck restraints like the one used on George Floyd the day he died in police custody in Minneapolis. Another move, inspired by the nationwide clamor for reform by protesters after Floyd's death on Memorial Day, proposed dramatically slashing up to $150 million in funding to the Los Angeles Police Department. Less than three weeks after the death of the unarmed 46-year-old black",us,US,https://cdn.cnn.com/cnnnext/dam/assets/200601000727-03-officers-joined-protesters-george-floyd-trnd-story-body.jpg,
h_103865364f164dafd64025db47fefd64,article,article_679DF7A4-53C6-FFCA-3C66-AE4A49431307,https://www.cnn.com/2020/06/14/world/statues-robert-lee-churchill-colston-columbus-intl/index.html,2020-06-14T13:47:59Z,2020-06-14T15:09:14Z,2020-06-14T15:09:14Z,/2020/06/14/world/statues-robert-lee-churchill-colston-columbus-intl,cnn,,"By Tim Lister, CNN","Cathartic acts of rage, or the rewriting of history? How statues became political lightning rods","Statues are products of one era built to endure into others. They loom over streets and squares while the views of those who pass by change, from generation to generation. Most people, most of the time, are indifferent to these persons of stone and bronze. Not now. From Richmond, Virginia, to Bristol in England, statues of men who championed or traded in slavery centuries ago are being torn down. The soul-searching about race prompted by the death of George Floyd in Minneapolis has extended into how the history of racial persecution and prejudice is remembered. It is a heated debate",world,WORLD,https://cdn.cnn.com/cnnnext/dam/assets/200610172633-01-christopher-columbus-statue-boston-story-body.jpg,
